(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
    1 | 2026-03-07 15:12:47 |   c1 |    0.0 |   62.9 |   187.4 |        0 |   38.8 |   205.5
    1 | 2026-03-07 15:12:48 |   c2 |   66.5 |   49.6 |   151.6 |        0 |   37.7 |    68.5
    1 | 2026-03-07 15:12:49 |   c3 |   71.2 |   43.0 |   134.1 |        0 |   33.8 |    80.3
    2 | 2026-03-07 15:12:51 |   c1 |   54.9 |   37.6 |   116.0 | -19419264 |   38.7 |    59.2
    2 | 2026-03-07 15:12:52 |   c2 |   63.9 |   50.5 |   154.4 |   795349 |   37.3 |   124.1
    2 | 2026-03-07 15:12:53 |   c3 |   60.9 |   44.9 |   139.9 |  1463877 |   33.1 |    36.1
    3 | 2026-03-07 15:12:54 |   c1 |   55.1 |   39.2 |   120.9 |  1276608 |   38.2 |    16.8
    3 | 2026-03-07 15:12:55 |   c2 |   68.5 |   51.6 |   157.6 |   864279 |   37.0 |    70.1
    3 | 2026-03-07 15:12:56 |   c3 |   68.0 |   46.5 |   145.0 |  1536445 |   32.5 |    79.5
    4 | 2026-03-07 15:12:58 |   c1 |   55.6 |   40.2 |   123.8 |   872277 |   37.9 |    21.8
    4 | 2026-03-07 15:12:59 |   c2 |   73.3 |   52.3 |   159.9 |   689873 |   36.6 |    32.0
    4 | 2026-03-07 15:13:00 |   c3 |   61.3 |   48.3 |   150.6 |  1592498 |   31.9 |    19.6
    5 | 2026-03-07 15:13:02 |   c1 |   52.1 |   41.6 |   128.1 |  1040302 |   37.4 |    16.6
    5 | 2026-03-07 15:13:03 |   c2 |   72.4 |   53.3 |   162.8 |   687672 |   36.2 |    25.3
    5 | 2026-03-07 15:13:04 |   c3 |   79.1 |   50.2 |   156.5 |  1598903 |   31.5 |    34.8
    6 | 2026-03-07 15:13:05 |   c1 |   59.6 |   42.8 |   132.1 |  1238664 |   37.2 |    30.8
    6 | 2026-03-07 15:13:06 |   c2 |   69.8 |   54.2 |   165.6 |   834581 |   36.0 |    29.4
    6 | 2026-03-07 15:13:08 |   c3 |   63.2 |   51.9 |   162.0 |  1447352 |   31.0 |    16.2
    7 | 2026-03-07 15:13:09 |   c1 |   53.3 |   44.3 |   136.5 |  1084126 |   36.8 |    27.9
