
(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
SSH bağlantıları kuruluyor...
  SSH bağlantısı kuruldu: 192.168.56.136
  SSH bağlantısı kuruldu: 192.168.56.137
  SSH bağlantısı kuruldu: 192.168.56.139
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
    1 | 2026-03-01 22:10:57 |   c1 |    0.0 |   69.7 |   171.4 |        - |   51.0 |    15.3
    1 | 2026-03-01 22:10:58 |   c2 |    3.0 |   59.4 |   181.9 |        - |   60.5 |     7.1
    1 | 2026-03-01 22:10:59 |   c3 |    0.9 |   33.0 |   104.1 |        - |   55.5 |     6.3
    2 | 2026-03-01 22:11:00 |   c1 |    0.0 |   70.7 |   173.8 |   772611 |   41.4 |    13.5
    2 | 2026-03-01 22:11:01 |   c2 |    1.1 |   60.6 |   185.7 |  1255856 |   49.3 |     8.8
    2 | 2026-03-01 22:11:02 |   c3 |    0.8 |   34.6 |   109.1 |  1737393 |   44.6 |     8.1
    3 | 2026-03-01 22:11:03 |   c1 |    1.1 |   70.8 |   174.1 |   134666 |   35.9 |    10.5
    3 | 2026-03-01 22:11:04 |   c2 |    1.0 |   61.1 |   187.1 |   488048 |   41.2 |    12.4
    3 | 2026-03-01 22:11:05 |   c3 |    5.3 |   34.9 |   110.0 |   301023 |   37.1 |     6.8
    4 | 2026-03-01 22:11:06 |   c1 |    3.1 |   71.0 |   174.5 |   114947 |   31.4 |    16.9
    4 | 2026-03-01 22:11:07 |   c2 |    0.9 |   61.2 |   187.5 |   140507 |   35.6 |     7.2
    4 | 2026-03-01 22:11:08 |   c3 |    1.1 |   35.0 |   110.3 |   127507 |   32.1 |     7.9
    5 | 2026-03-01 22:11:09 |   c1 |    1.0 |   71.9 |   176.7 |   785841 |   28.1 |    11.7
    5 | 2026-03-01 22:11:10 |   c2 |    2.1 |   61.6 |   188.7 |   449060 |   31.6 |     8.7
    5 | 2026-03-01 22:11:10 |   c3 |    2.0 |   35.7 |   112.5 |   801323 |   28.4 |     5.7
    6 | 2026-03-01 22:11:12 |   c1 |    0.6 |   72.2 |   177.7 |   352895 |   25.1 |    23.5
    6 | 2026-03-01 22:11:13 |   c2 |    0.0 |   62.0 |   189.8 |   352055 |   28.0 |     7.6
    6 | 2026-03-01 22:11:13 |   c3 |    1.0 |   36.1 |   113.7 |   393450 |   25.2 |    13.3
    7 | 2026-03-01 22:11:15 |   c1 |    1.0 |   72.2 |   177.7 |        0 |   22.9 |    15.6
    7 | 2026-03-01 22:11:16 |   c2 |    1.1 |   62.1 |   190.0 |    73097 |   25.4 |    10.8
    7 | 2026-03-01 22:11:16 |   c3 |    0.0 |   36.2 |   114.1 |   132240 |   22.7 |     7.4
    8 | 2026-03-01 22:11:18 |   c1 |    2.1 |   33.8 |    88.8 | -30430093 |   21.2 |     7.9
    8 | 2026-03-01 22:11:18 |   c2 |    3.3 |   62.5 |   191.5 |   500208 |   23.3 |     7.4
    8 | 2026-03-01 22:11:19 |   c3 |    0.0 |   36.2 |   114.1 |        0 |   20.7 |     5.8
    9 | 2026-03-01 22:11:21 |   c1 |    0.0 |   34.4 |    90.4 |   548265 |   19.7 |    18.6
    9 | 2026-03-01 22:11:21 |   c2 |    3.2 |   62.8 |   192.3 |   272857 |   21.6 |     7.0
    9 | 2026-03-01 22:11:22 |   c3 |    1.1 |   36.9 |   116.3 |   768523 |   19.2 |    12.5
   10 | 2026-03-01 22:11:23 |   c1 |    2.2 |   34.6 |    90.9 |   169958 |   18.3 |    15.0
   10 | 2026-03-01 22:11:24 |   c2 |    1.1 |   63.0 |   193.0 |   279455 |   20.0 |     5.1
   10 | 2026-03-01 22:11:25 |   c3 |    1.0 |   37.4 |   117.7 |   490810 |   17.8 |    15.5
   11 | 2026-03-01 22:11:26 |   c1 |    3.0 |   34.8 |    91.5 |   204612 |   17.2 |    14.1
   11 | 2026-03-01 22:11:27 |   c2 |    1.1 |   63.1 |   193.2 |    66539 |   18.7 |     6.8
   11 | 2026-03-01 22:11:28 |   c3 |    1.1 |   37.5 |   118.2 |   174618 |   16.7 |     8.6
   12 | 2026-03-01 22:11:29 |   c1 |    1.1 |   35.3 |    92.8 |   507168 |   16.2 |    12.5
   12 | 2026-03-01 22:11:30 |   c2 |    1.1 |   63.5 |   194.5 |   451245 |   17.6 |    27.4
   12 | 2026-03-01 22:11:31 |   c3 |    0.0 |   38.3 |   120.7 |   884706 |   15.6 |     6.0
   13 | 2026-03-01 22:11:32 |   c1 |    0.0 |   35.7 |    93.8 |   316185 |   15.3 |     5.2
   13 | 2026-03-01 22:11:33 |   c2 |    2.0 |   63.8 |   195.2 |   227857 |   16.5 |     7.0
   13 | 2026-03-01 22:11:34 |   c3 |    2.1 |   38.4 |   121.1 |   118678 |   14.7 |     7.4
   14 | 2026-03-01 22:11:35 |   c1 |    2.8 |   35.8 |    94.0 |    57413 |   14.4 |    10.0
   14 | 2026-03-01 22:11:36 |   c2 |    0.9 |   26.5 |    87.5 | -34761991 |   15.7 |    16.8
   14 | 2026-03-01 22:11:37 |   c3 |    1.1 |   39.2 |   123.4 |   713909 |   13.8 |     6.3
   15 | 2026-03-01 22:11:38 |   c1 |    1.1 |   36.2 |    95.1 |   369358 |   13.8 |     7.1
   15 | 2026-03-01 22:11:39 |   c2 |    1.0 |   27.2 |    89.9 |   780372 |   14.9 |     7.6
   15 | 2026-03-01 22:11:40 |   c3 |    3.3 |   39.2 |   123.4 |        0 |   13.2 |     6.1
   16 | 2026-03-01 22:11:41 |   c1 |   19.5 |   36.3 |    95.3 |    53132 |   13.1 |     7.7
   16 | 2026-03-01 22:11:42 |   c2 |    2.1 |   27.3 |    90.1 |    90988 |   14.2 |    13.6
   16 | 2026-03-01 22:11:43 |   c3 |    2.0 |   39.9 |   125.7 |   656340 |   12.4 |    21.6
   17 | 2026-03-01 22:11:45 |   c1 |    1.9 |   36.5 |    95.9 |   157893 |   12.4 |    11.8
   17 | 2026-03-01 22:11:46 |   c2 |    1.1 |   27.6 |    90.9 |   176338 |   13.4 |     9.7
   17 | 2026-03-01 22:11:47 |   c3 |    4.3 |   40.2 |   126.8 |   269074 |   11.7 |    13.0
   18 | 2026-03-01 22:11:49 |   c1 |    1.1 |   37.1 |    97.5 |   410546 |   12.3 |    23.5
   18 | 2026-03-01 22:11:50 |   c2 |    1.1 |   28.1 |    92.6 |   389925 |   13.2 |    24.8
   18 | 2026-03-01 22:11:52 |   c3 |    1.1 |   41.0 |   129.1 |   503889 |   11.5 |     7.1
   19 | 2026-03-01 22:11:54 |   c1 |    4.4 |   37.4 |    98.3 |   162120 |   11.6 |    22.4
   19 | 2026-03-01 22:11:55 |   c2 |    0.9 |   28.2 |    93.1 |   110416 |   12.5 |     7.0
   19 | 2026-03-01 22:11:56 |   c3 |    1.1 |   41.4 |   130.4 |   306274 |   11.1 |    27.4
   20 | 2026-03-01 22:11:58 |   c1 |    3.6 |   38.0 |    99.7 |   312850 |   11.4 |    35.2
   20 | 2026-03-01 22:11:59 |   c2 |    4.9 |   28.6 |    94.3 |   278820 |   12.4 |    23.2
   20 | 2026-03-01 22:12:01 |   c3 |    0.0 |   42.2 |   133.0 |   578941 |   10.7 |    42.2
   21 | 2026-03-01 22:12:02 |   c1 |    0.9 |   38.3 |   100.6 |   208041 |   11.0 |    55.1
   21 | 2026-03-01 22:12:04 |   c2 |    7.8 |   28.7 |    94.5 |    51727 |   12.0 |    65.3
   21 | 2026-03-01 22:12:05 |   c3 |    5.0 |   42.2 |   133.0 |        0 |   10.2 |    21.8
   22 | 2026-03-01 22:12:07 |   c1 |   11.1 |   38.6 |   101.3 |   167777 |   10.9 |    21.2
   22 | 2026-03-01 22:12:08 |   c2 |    1.1 |   29.0 |    95.5 |   243553 |   11.5 |    25.2
   22 | 2026-03-01 22:12:09 |   c3 |    4.4 |   42.7 |   134.6 |   379598 |   10.1 |    24.6
   23 | 2026-03-01 22:12:11 |   c1 |    1.1 |   39.1 |   102.6 |   334593 |   10.5 |    29.3
   23 | 2026-03-01 22:12:12 |   c2 |    1.0 |   29.3 |    96.8 |   325242 |   11.0 |    11.0
   23 | 2026-03-01 22:12:13 |   c3 |    2.0 |   43.4 |   136.8 |   599953 |    9.8 |    15.8
   24 | 2026-03-01 22:12:15 |   c1 |    4.0 |   39.1 |   102.7 |    24462 |   10.1 |     9.0
   24 | 2026-03-01 22:12:16 |   c2 |    2.1 |   29.4 |    97.0 |    53716 |   10.6 |    30.7
   24 | 2026-03-01 22:12:17 |   c3 |    1.1 |   43.4 |   136.8 |        0 |    9.5 |    15.8
   25 | 2026-03-01 22:12:19 |   c1 |    2.9 |   40.0 |   105.0 |   608209 |   10.0 |    59.9
   25 | 2026-03-01 22:12:20 |   c2 |    2.2 |   30.3 |    99.9 |   772562 |   10.4 |    39.4
   25 | 2026-03-01 22:12:21 |   c3 |    2.2 |   44.5 |   140.2 |   926467 |    9.3 |     7.5
   26 | 2026-03-01 22:12:22 |   c1 |    2.2 |   40.1 |   105.4 |    94947 |    9.7 |    14.4
