
(venv) root@vbox:/home/vboxuser/lstm/codes# python collect_data.py
==========================================================================================
  Floodlight 3-Controller Metrik Toplama
  Log: real_time_metrics.log | Ctrl+C ile durdur
==========================================================================================
    # |               Zaman | Ctrl |   CPU% |   Mem% |  HeapMB |    HGrow |  pCPU% |     RTT
------------------------------------------------------------------------------------------
    1 | 2026-03-02 23:13:27 |   c1 |    0.0 |   44.7 |   116.2 |        0 |   44.5 |     7.7
    1 | 2026-03-02 23:13:28 |   c2 |   38.5 |   60.7 |   350.7 |        0 |    1.9 |     3.2
    1 | 2026-03-02 23:13:28 |   c3 |   43.2 |   44.5 |   284.6 |        0 |    1.9 |     3.4
    2 | 2026-03-02 23:13:28 |   c1 |   10.6 |   44.8 |   116.6 |   423123 |   41.7 |     7.5
    2 | 2026-03-02 23:13:29 |   c2 |   45.0 |   60.7 |   350.7 |        0 |    1.9 |     2.9
    2 | 2026-03-02 23:13:29 |   c3 |   42.1 |   44.5 |   284.6 |        0 |    1.9 |     3.1
    3 | 2026-03-02 23:13:29 |   c1 |   10.8 |   45.0 |   116.9 |   329826 |   39.4 |     5.8
    3 | 2026-03-02 23:13:29 |   c2 |   43.2 |   60.9 |   351.5 |   874882 |    1.9 |     4.7
    3 | 2026-03-02 23:13:30 |   c3 |   42.5 |   44.6 |   285.6 |  1041343 |    1.9 |     3.1
    4 | 2026-03-02 23:13:30 |   c1 |   11.4 |   45.0 |   117.0 |   106217 |   37.3 |    11.6
    4 | 2026-03-02 23:13:30 |   c2 |   46.3 |   61.0 |   351.9 |   429779 |    1.9 |     3.0
    4 | 2026-03-02 23:13:31 |   c3 |   41.0 |   44.6 |   285.6 |        0 |    1.9 |     3.2
    5 | 2026-03-02 23:13:31 |   c1 |    7.3 |   45.2 |   117.6 |   639500 |   35.5 |     9.1
    5 | 2026-03-02 23:13:31 |   c2 |   36.8 |   61.0 |   351.9 |        0 |    1.9 |     3.1
    5 | 2026-03-02 23:13:32 |   c3 |   46.3 |   44.6 |   285.6 |        0 |    1.9 |     4.2
    6 | 2026-03-02 23:13:32 |   c1 |   11.7 |   45.5 |   118.2 |   590181 |   33.8 |    11.7
    6 | 2026-03-02 23:13:32 |   c2 |   43.2 |   61.0 |   351.9 |        0 |    1.9 |     3.0
    6 | 2026-03-02 23:13:33 |   c3 |   47.7 |   44.8 |   286.7 |  1056219 |    1.9 |     3.9
    7 | 2026-03-02 23:13:33 |   c1 |   10.1 |   45.5 |   118.3 |   104219 |   32.3 |     8.6
    7 | 2026-03-02 23:13:33 |   c2 |   40.5 |   61.0 |   352.3 |   426523 |    1.9 |     3.6
    7 | 2026-03-02 23:13:34 |   c3 |   46.9 |   44.9 |   287.7 |  1050867 |    1.9 |     3.2
    8 | 2026-03-02 23:13:34 |   c1 |   20.9 |   49.7 |   129.1 | 10825327 |   31.6 |     6.8
    8 | 2026-03-02 23:13:34 |   c2 |   39.5 |   61.0 |   352.3 |        0 |    1.9 |     3.2
    8 | 2026-03-02 23:13:35 |   c3 |   50.0 |   44.9 |   287.7 |        0 |    1.9 |     2.8
    9 | 2026-03-02 23:13:35 |   c1 |   23.3 |   53.8 |   140.0 | 10704764 |   32.1 |     9.2
    9 | 2026-03-02 23:13:35 |   c2 |   57.8 |   61.2 |   353.2 |   760672 |    1.9 |     5.1
    9 | 2026-03-02 23:13:36 |   c3 |   53.5 |   44.9 |   287.7 |        0 |    1.9 |     3.2
   10 | 2026-03-02 23:13:36 |   c1 |   19.2 |   58.7 |   152.6 | 11896648 |   34.3 |     7.4
   10 | 2026-03-02 23:13:36 |   c2 |   65.2 |   61.4 |   354.4 |  1233714 |    1.9 |     4.0
   10 | 2026-03-02 23:13:37 |   c3 |   52.7 |   45.2 |   289.4 |  1506351 |    1.9 |    17.8
   11 | 2026-03-02 23:13:38 |   c1 |   26.4 |   63.0 |   163.7 |  8611975 |   37.9 |     6.9
   11 | 2026-03-02 23:13:38 |   c2 |   45.9 |   61.5 |   354.9 |   285776 |    1.9 |     4.4
   11 | 2026-03-02 23:13:38 |   c3 |   18.9 |   45.2 |   289.4 |        0 |    1.9 |    18.0
   12 | 2026-03-02 23:13:39 |   c1 |   42.4 |   71.2 |   185.2 | 15109804 |   43.3 |     4.2
   12 | 2026-03-02 23:13:39 |   c2 |   65.1 |   61.5 |   355.3 |   324370 |    1.9 |     3.6
   12 | 2026-03-02 23:13:39 |   c3 |   50.0 |   45.3 |   290.0 |   439409 |    1.9 |     2.9
   13 | 2026-03-02 23:13:40 |   c1 |   50.0 |   38.7 |   162.5 | -17906712 |   49.6 |     7.5
   13 | 2026-03-02 23:13:41 |   c2 |   71.1 |   61.5 |   355.3 |        0 |    1.9 |     2.8
   13 | 2026-03-02 23:13:41 |   c3 |   76.7 |   45.3 |   290.0 |        0 |    1.9 |     2.6
   14 | 2026-03-02 23:13:42 |   c1 |   38.0 |   41.6 |   174.7 |  8776174 |   56.8 |     7.1
   14 | 2026-03-02 23:13:42 |   c2 |   47.9 |   61.6 |   355.7 |   273873 |    1.9 |     2.4
